,heading,rating,location,img_url,text,rating_unknown,cleaned_text
0,Burj Khalifa,4.5,Jumeirah,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_779374957_20190822125404_20190822125410.jpg,"towering at a height of 2,700 feet, the burj khalifa is currently the tallest tower in the world. with two observation decks, a las vegas-inspired fountain, nine of the city's best luxury hotels and multiple restaurants, this 21st-century architectural marvel must be your number one place to visit when in dubai or even the uae. also, make sure to book your tickets in advance well to avoid last moment hassles.",0,towering height 2 700 feet burj khalifa currently tallest tower world two observation decks las vegas inspired fountain nine city s best luxury hotels multiple restaurants 21st century architectural marvel must number one place visit dubai even uae also make sure book tickets advance well avoid last moment hassles
1,Dubai Expo 2020,-1.0,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/800px-Dubai_Expo_20211028104930.jpg,"dubai 2020, the world expo is not only the biggest event in the arab world but also the first-ever world expo in the middle east, africa and south asia. this phenomenal exhibition has 192 countries participating and millions of visitors globally. this six-month event is a celebration of culture, collaboration and innovation. dubai expo 2020 dates: 20 october 2020 - 10 april 2021dubai expo 2020 ticketsstandard tickets pricesone-day ticket for adults- aed 120three-day ticket for adult- aed 260",1,dubai 2020 world expo biggest event arab world also first ever world expo middle east africa south asia phenomenal exhibition 192 countries participating millions visitors globally six month event celebration culture collaboration innovation dubai expo 2020 dates 20 october 2020 10 april 2021dubai expo 2020 ticketsstandard tickets pricesone day ticket adults aed 120three day ticket adult aed 260
2,Dubai Aquarium & Underwater Zoo,-1.0,Downtown Dubai,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_508380913_20190822131953_20190822132026.jpg,"located on the ground floor of the dubai mall, the dubai aquarium & underwater zoo houses over 33,000 marine life occupying the 10 million litres of water within the tank. a unique underwater zoo occupies the level above the tank showcasing a plethora of underwater life that can be found inhabiting the oceans, rivers and other water bodies across the planet. the vr zoo makes up the third section offering thrilling wildlife adventures via realistically created virtual tours.",1,located ground floor dubai mall dubai aquarium underwater zoo houses 33 000 marine life occupying 10 million litres water within tank unique underwater zoo occupies level tank showcasing plethora underwater life found inhabiting oceans rivers water bodies across planet vr zoo makes third section offering thrilling wildlife adventures via realistically created virtual tours
3,Global Village Dubai,4.4,Bur Dubai,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_780556252_20190822124114_20190822124134.jpg,"global village dubai is claimed to be the world's most significant tourism, leisure and entertainment project of uae. it is the region's first cultural, entertainment, family and shopping destination. every year, the place receives over 5 million visitors over an area of 17,200,000 sq ft. the compound has various pavilions that each",0,global village dubai claimed world s significant tourism leisure entertainment project uae region s first cultural entertainment family shopping destination every year place receives 5 million visitors area 17 200 000 sq ft compound various pavilions
4,Palm Jumeirah,4.2,Jumeirah,https://www.holidify.com/images/cmsuploads/compressed/attr_1419_20190912135913.jpg,"palm jumeirah, dubai's magnificent artificial archipelago, is the epitome of beauty created by land reclamation, extending into the persian gulf. the archipelago resembles a palm tree with a circle when you take an overhead view of it. it was one of the first major tourism projects in the uae and currently houses some of dubai’s top tourist destinations like atlantis, the palm, aquaventure waterpark and the lost chambers aquarium.",0,palm jumeirah dubai s magnificent artificial archipelago epitome beauty created land reclamation extending persian gulf archipelago resembles palm tree circle take overhead view it one first major tourism projects uae currently houses dubais top tourist destinations like atlantis palm aquaventure waterpark lost chambers aquarium
5,The Dubai Mall,3.8,Downtown Dubai,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_228880075_20190822131717_20190822131816.jpg,"the dubai mall, also known as the home of the dubai shopping festival, is one of the world's largest shopping malls with an area of over 500,000 square meters! with more than 1200 stores, a large walk-through aquarium, a world-class ic rink, 14,000 parking spaces and more exciting experiences for shoppers, the mall was voted the best shopping experience in the world by grazia magazine in 2010.",0,dubai mall also known home dubai shopping festival one world s largest shopping malls area 500 000 square meters 1200 stores large walk through aquarium world class ic rink 14 000 parking spaces exciting experiences shoppers mall voted best shopping experience world grazia magazine 2010
6,Aquaventure Waterpark,4.2,Jumeirah,https://www.holidify.com/images/cmsuploads/compressed/attr_1436_20190826140422.jpg,"one of the biggest water parks of dubai, aquaventure is located in the atlantis hotel complex. this amazing water park offers a series of pools, shoots and flumes and a few thrilling rides. adrenaline pumping tower of neptune and the equally exhilarating tower of poseidon are some of the key highlights of the park. visitors can also relax at the cabanas, have a nice meal at the various restaurants and shop some souvenirs at the many stores in the park.",0,one biggest water parks dubai aquaventure located atlantis hotel complex amazing water park offers series pools shoots flumes thrilling rides adrenaline pumping tower neptune equally exhilarating tower poseidon key highlights park visitors also relax cabanas nice meal various restaurants shop souvenirs many stores park
7,Skydiving in Dubai,4.2,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/Skydive-Dubai_20180302144135.jpg,dubai being a favourite among the adrenaline junkies is a well-known destination for people who love skydiving as it provides a unique one-of-a-kind experience as adventurers get to skydive with the beautiful pal jumeirah below them. many consider this a highlight of the city with many even claiming that no trip can be completed without this electrifying expedition. the skydive at dubai is regarded as one of the best skydiving service providers in the world.,0,dubai favourite among adrenaline junkies well known destination people love skydiving provides unique one of a kind experience adventurers get skydive beautiful pal jumeirah them many consider highlight city many even claiming trip completed without electrifying expedition skydive dubai regarded one best skydiving service providers world
8,Dubai Marina,4.1,Downtown Dubai,https://www.holidify.com/images/cmsuploads/compressed/attr_1435_20190827123829.jpg,"nestled in the region popularly known as 'new dubai', dubai marina is a conceptualized man-made canal city. it offers luxurious lifestyles through its exquisite waterfront development along the persian gulf shoreline. there are classy hotels and upscale shopping and other leisure options here. it also contains the dubai marina mall complex, a shopping and entertainment destination.",0,nestled region popularly known new dubai dubai marina conceptualized man made canal city offers luxurious lifestyles exquisite waterfront development along persian gulf shoreline classy hotels upscale shopping leisure options here also contains dubai marina mall complex shopping entertainment destination
9,Dubai Dolphinarium,4.1,Deira,https://www.holidify.com/images/cmsuploads/compressed/15898869188_7ccb633a11_o_20190903163312.jpg,"home to the majestic black sea bottlenose dolphins, northern and southern american fur seals, and exotic birds, the dubai dolphinarium is famous worldwide for its awe-inspiring and interactive shows. located in creek park, a family entertainment and activity park in dubai, the dubai dolphinarium is a major tourist attraction where people from all over the world flock in large numbers all around the year to enjoy exciting marine mammal and bird shows.",0,home majestic black sea bottlenose dolphins northern southern american fur seals exotic birds dubai dolphinarium famous worldwide awe inspiring interactive shows located creek park family entertainment activity park dubai dubai dolphinarium major tourist attraction people world flock large numbers around year enjoy exciting marine mammal bird shows
