,heading,rating,location,img_url,text
0, 1. Burj Khalifa ,"
4.5
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_779374957_20190822125404_20190822125410.jpg," Towering at a height of 2,700 feet, the Burj Khalifa is currently the tallest tower in the world. With two observation decks, a Las Vegas-inspired fountain, nine of the city's best luxury hotels and multiple restaurants, this 21st-century architectural marvel must be your number one place to visit when in Dubai or even the UAE. Also, make sure to book your tickets in advance well to avoid last moment hassles. "
1, 2. Dubai Expo 2020 ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/800px-Dubai_Expo_20211028104930.jpg," Dubai 2020, the World Expo is not only the biggest event in the Arab world but also the first-ever World Expo in the Middle East, Africa and South Asia. This phenomenal exhibition has 192 countries participating and millions of visitors globally. This six-month event is a celebration of culture, collaboration and innovation. Dubai Expo 2020 Dates: 20 October 2020 - 10 April 2021Dubai Expo 2020 TicketsStandard Tickets PricesOne-day ticket for Adults- AED 120Three-day ticket for Adult- AED 260 "
2, 3. Dubai Aquarium & Underwater Zoo ,-1,  Located in :   Downtown Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_508380913_20190822131953_20190822132026.jpg," Located on the ground floor of the Dubai Mall, the Dubai Aquarium & Underwater Zoo houses over 33,000 marine life occupying the 10 million litres of water within the tank. A unique underwater zoo occupies the level above the tank showcasing a plethora of underwater life that can be found inhabiting the oceans, rivers and other water bodies across the planet. The VR Zoo makes up the third section offering thrilling wildlife adventures via realistically created virtual tours.  "
3, 4. Global Village Dubai ,"
4.4
 /5
",  Located in :   Bur Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_780556252_20190822124114_20190822124134.jpg," Global Village Dubai is claimed to be the world's most significant tourism, leisure and entertainment project of UAE. It is the region's first cultural, entertainment, family and shopping destination. Every year, the place receives over 5 million visitors over an area of 17,200,000 sq ft. The compound has various pavilions that each  "
4, 5. Palm Jumeirah ,"
4.2
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/attr_1419_20190912135913.jpg," Palm Jumeirah, Dubai's magnificent artificial archipelago, is the epitome of beauty created by land reclamation, extending into the Persian Gulf. The archipelago resembles a palm tree with a circle when you take an overhead view of it. It was one of the first major tourism projects in the UAE and currently houses some of Dubai’s top tourist destinations like Atlantis, the Palm, Aquaventure Waterpark and the Lost Chambers Aquarium.
 "
5, 6. The Dubai Mall ,"
3.8
 /5
",  Located in :   Downtown Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_228880075_20190822131717_20190822131816.jpg," The Dubai Mall, also known as the home of the Dubai shopping festival, is one of the world's largest shopping malls with an area of over 500,000 square meters! With more than 1200 stores, a large walk-through aquarium, a world-class ic rink, 14,000 parking spaces and more exciting experiences for shoppers, the mall was voted the best shopping experience in the world by Grazia Magazine in 2010.  "
6, 7. Aquaventure Waterpark ,"
4.2
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/attr_1436_20190826140422.jpg," One of the biggest water parks of Dubai, Aquaventure is located in the Atlantis hotel complex. This amazing water park offers a series of pools, shoots and flumes and a few thrilling rides. Adrenaline pumping Tower of Neptune and the equally exhilarating Tower of Poseidon are some of the key highlights of the park. Visitors can also relax at the Cabanas, have a nice meal at the various restaurants and shop some souvenirs at the many stores in the park.  "
7, 8. Skydiving in Dubai ,"
4.2
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/Skydive-Dubai_20180302144135.jpg, Dubai being a favourite among the adrenaline junkies is a well-known destination for people who love skydiving as it provides a unique one-of-a-kind experience as adventurers get to skydive with the beautiful Pal Jumeirah below them. Many consider this a highlight of the city with many even claiming that no trip can be completed without this electrifying expedition. The Skydive at Dubai is regarded as one of the best skydiving service providers in the world.  
8, 9. Dubai Marina ,"
4.1
 /5
",  Located in :   Downtown Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/attr_1435_20190827123829.jpg," Nestled in the region popularly known as 'New Dubai', Dubai Marina is a conceptualized man-made canal city. It offers luxurious lifestyles through its exquisite waterfront development along the Persian Gulf shoreline. There are classy hotels and upscale shopping and other leisure options here. It also contains the Dubai Marina Mall Complex, a shopping and entertainment destination. "
9, 10. Dubai Dolphinarium ,"
4.1
 /5
",  Located in :   Deira  ,https://www.holidify.com/images/cmsuploads/compressed/15898869188_7ccb633a11_o_20190903163312.jpg," Home to the majestic Black Sea bottlenose dolphins, Northern and Southern American fur seals, and exotic birds, the Dubai Dolphinarium is famous worldwide for its awe-inspiring and interactive shows. Located in Creek Park, a family entertainment and activity park in Dubai, the Dubai Dolphinarium is a major tourist attraction where people from all over the world flock in large numbers all around the year to enjoy exciting marine mammal and bird shows.  "
10, 11. Dubai Fountain ,"
4.7
 /5
",  Located in :   Downtown Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1196820841_20190903122749.jpg," Dubai Fountain is the world's largest choreographed water fountain located in the beautiful Burj Complex. This dancing fountain surges as high as 150 meters in complete synchronisation to classical, Arabic and other popular world musical numbers. Forming beautiful arcs and jumping to the beats, this fountain was designed by California-based WET, the creators of the Fountains of Bellagio in Las Vegas. The show begins in the evening every day, and the best way to approach it is through the Dubai Mall. "
11, 12. Dhow Cruise ,"
3.0
 /5
",  Located in :   Bur Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/Dhow_Cruise_20190904153813.png," Dhow Cruise is a must-try for those who are curious enough to know the rich heritage of the nation. Cruising past the Creek or the Marina, a Dhow cruise highlights how fishers would use the vessels for fishing and pearl diving. The Dhow cruises in Dubai exposes you to the other side of this magnificent city with a ride through the historical places. It is best experienced through a dinner cruise. With plenty of options at its disposal, you could explore the old Dubai creek or escape on a romantic dinner with your special someone. You can either witness the ultramodern episodes of a Cruise dinner or wonder at the sight of nature! "
12, 13. Bollywood Parks ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1185567334_20190822133141_20190822133147.jpg," Bollywood Parks Dubai is the ‘first theme park dedicated to the B-town’ in the world! A part of Dubai Parks and Resorts, it is the perfect location to learn and experience what goes into making a Bollywood film and how the Indian movie industry works. Visitors can visit various remakes of famous Bollywood movie sets like Lagaan, have a 4D movie experience to the movie Krish, the Cinema Circle for dance workshops and more. This place has perfect photo opportunities with the beautiful Indian décor, henna artists, vintage movie posters, mannequins of stars and colourful live performances. "
13, 14. Dubai Frame ,"
3.8
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/images(1)_20191212161742.jpeg," One of the most recent megaprojects of Dubai launched in January 2018, the Dubai Frame is the world's largest frame structure inspired by the logo of the upcoming World Expo 2020 which is to be held in the city. Located in Zabeel Park, it acts as a frame to some of the greatest architectural marvels of Dubai including the Burj Khalifa. It is flanked by two high-rise towers that go up to 150 meters and are connected by a Sky Deck which has a breadth of 93 meters acts as a top member of the frame structure.  "
14, 15. The Walk at JBR ,-1,  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/d1b5fbb43004b139a569c6e3665d1280_20190520184242.jpg," The Walk at JBR near Dubai Marina is a beautiful avenue lined with swaying palms on either side offering many shops and restaurants to its visitors. The Walk is nearly a mile-long stretch with plazas and arcaded doorways on both sides. The Walk is host to multiple events and festival venues and is a must-visit after sunset. The Walk runs along with the six high-rise structures, Shams, Amway, Rimal, Bahar, Sadaf and Murjan. With Shams on the east side and Murjan on the west side, this place is also home to some amazing restaurants.  "
15, 16. Ski Dubai ,"
4.3
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_584347765_20190822132635_20190822132655.jpg," Ski Dubai is an indoor ski resort with 22,500 square meters of the indoor ski area. It is the largest indoor ski park in the world. The park has a Snow Park, ski slopes, an ice museum and a skiing academy for those who wish to learn skiing. Apart from the regular facilities, Ski Dubai also hosts various events and concerts and a very cosy eatery called the Avalance Cafe which has a balcony that faces the ski slopes.  "
16, 17. Legoland Dubai ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_698094457_20190822134054_20190822134119.jpg," Situated amidst Dubai parks and resorts, Legoland is a family-theme park which lets you play with the Lego bricks and enjoy on water slides too! Ideal for kids aged between 2 to 12, Legoland is divided between two parks- a Lego park and a Lego Water Park. Legoland, Dubai consists of almost forty interactive rides, twenty water slides and more than fifteen thousand Lego models. "
17, 18. Dubai Desert Safari ,"
4.1
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/DesetSafari_20170809183203.jpg," Dubai, mainly renowned for its great infrastructure, is also known for its adventurous streak. At the heart of Dubai is still its desolated desert. And so, to enjoy the desert a bit more effectively, the city presents various Desert Safari options. The experience is one of its kind and worth every penny spent! Visitors can experience desert camping with a delicious Arabian dinner, belly dancers and other traditional performers. Day safaris hold you in for an adventure as you get to try out Dune Bashing, sandboarding, quad biking, camel rides and more.  "
18, 19. Miracle Garden Dubai ,"
4.1
 /5
",DUBAI,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_783897589_20190822132126_20190822132133.jpg," Miracle Garden is one of the most beautiful and biggest natural flower gardens in the world. Located in Dubailand, it is spread across a vast area of over 72,000 square meters, the garden is the world's largest natural flower garden featuring over 45 million flowers and plants. The place is a heaven for those seeking nature's beauty in the city. The garden is open only from mid-November to mid-May.  "
19, 20. Al Bastakiya ,-1,  Located in :   Bur Dubai  ,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1099072940_20190829103044.jpg," If you wish to get a slice of Dubai’s history then a visit to Al Bastakiya is a must. A trip to Al Bastakiya or Al Fahidi district can quench your thirst for discovering the historical roots of today’s glamourous star town. Characterised by large buildings made in traditional materials like mud and wood, Al Bastakiya place oozes charm of its own.  "
20, 21. Burj Al Arab ,"
3.9
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/8383767654_928b8ff26e_b_20190116135238.jpg," Established in the year 1999, Burj Al Arab is one of the premium hotels of Dubai located on an artificial island off Jumeirah Road. Designed in the shape of a sail of a dhow, this iconic landmark houses an array of shiny chauffeur-driven limousines and a private helipad. Talking of luxury, the hotel features an attractive fountain, an admirable lobby and richness induced 203 suites. Standing tall at a height of 180 meters, the royalty factor of the hotel is brought out by its may interior elements adorned in real gold! A prior reservation (on its website) is required to get past the lobby security to visit its restaurant if you are not staying there.  "
21, 22. Dubai Creek ,-1,DUBAI,https://www.holidify.com/images/cmsuploads/compressed/The_view_of_Dubai_Creek_20190127130214.jpg," This Saltwater Creek is UAE’s one of the major port and divides the city into two parts and connects the trading port to the desert. Extended to the Persian Gulf and the wildlife sanctuary, this waterway acts as a commercial lifeline as it facilitates not just tourism but also harbours ships, trade and commercial activities. This is a popular place for an evening visit. Witness the lights and music shows, floating and moving dhows, yachts, boats and vessels to get a glimpse of old Dubai during the trade times. A delectable meal and a starry waterfront is all you need to end your journey and trip on a good note! "
22, 23. Jumeirah Mosque ,"
3.6
 /5
",  Located in :   Jumeirah  ,https://www.holidify.com/images/cmsuploads/compressed/38075542266_88b10fda27_b_20190604114606_20190604115002.jpg," Jumeirah Mosque is regarded as one of the most beautiful mosques in the UAE. Built exactly on lines of Cairo's Al Azhar Mosque that is eight times its size, this mosque is an excellent example of Islamic architecture. It is the only mosque in Dubai that is open to non-muslims. Its detailed architecture and design are even more glorified when lit up in the evening. It is also one of the most photographed mosques in the UAE.  "
